iLock Security Services,material-symbols:shield-lock
InforSense InforSense,mdi:file-document
Infosite Technologies Dispatch-Mate,mdi:file-document
Infosite Technologies DM Warehousing,mdi:file-document
Infospectrum Quick Insure,mdi:file-document
Infostat RIMBase,mdi:file-document
Infotronics Attendance Enterprise,mdi:file-document
Infovision Amlib,mdi:file-document
Infusion management software,mdi:code-braces
Ingenious ProPlan,mdi:file-document
Ingenious ProSched,mdi:file-document
Ingenuity Systems Ingenuity Pathways Analysis,mdi:chart-line
Ingenuware CoronerBase,mdi:file-document
Inivis AC3D,mdi:file-document
Injury Sciences EDR InSight,mdi:file-document
Injury tracking software,mdi:code-braces
Inkscape,mdi:file-document
Inlet Technologies Semaphore,mdi:map
Inline code expander software,mdi:code-braces
InLoox,mdi:file-document
Inmagic DB/TextWorks,mdi:file-document
Inmagic Genie,mdi:file-document
Inmagic TextWorks,mdi:file-document
INN-Client Server Systems ICSS Atrium,mdi:server
Innova Financial Solutions Derivatives Expert,mdi:file-document
Innovative Business Computer Solutions Spa/Salon Manager,mdi:calculator
Innovative Interfaces Millennium,mdi:file-document
Innovative Software Inn-Soft Office Manager,mdi:code-braces
Innovative Software Solutions Picas,mdi:code-braces
InnovMetric PolyWorks,mdi:file-document
InnQuest roomMaster,mdi:file-document
InnQuest Software roomMaster,mdi:code-braces
InPhase Technologies Group InPhase Concept,mdi:file-document
InScribe,mdi:file-document
InsideSales.com,mdi:code-braces
Insight Direct ServiceCEO,mdi:file-document
Insight Software My Vision Express,mdi:code-braces
Insightful Corporation Confirmit,mdi:file-document
Insightful S-PLUS,mdi:file-document
Inspection Depot Home Guide System,mdi:code-braces
Inspection management system,mdi:sitemap
Inspection marking systems,mdi:file-document
Inspection Selection System ISS,mdi:file-document
Inspired eLearning iLMS,mdi:school
Instagram,mdi:file-document
Installalogy Access Client,mdi:file-document
Installation,mdi:file-document
InstallShield,mdi:shield
Instant messaging software,mdi:code-braces
InStar Orion,mdi:file-document
Instructing,mdi:file-document
Instructional software,mdi:code-braces
Instructure Canvas,mdi:draw
Instrument control software,mdi:code-braces
Instrument validation software,mdi:code-braces
Insurance analysis software,mdi:chart-line
Insurance claim processing software,mdi:code-braces
Insurance claims fraud detection software,mdi:code-braces
Insurance rating software,mdi:code-braces
Insurance Systems WebWriter BackOffice,mdi:network
Insurance Technologies Corporation InsurancePro,mdi:file-document
Insurance Technologies ForeSight Enterprise,mdi:file-document
Insurance Technology Consultants WOW,mdi:file-document
Insureware ICRFS-ELRF,mdi:file-document
InSystems Calligo Document Management System,mdi:file-document
InSystems Calligo Enterprise,mdi:file-document
Intac International Wintac,mdi:file-document
Intacct ERP,mdi:file-document
Integra Destiny Loan Origination,mdi:file-document
Integra Radionics NeuroSight Arc,mdi:file-document
Integrant DebtLogic,mdi:file-document
Integrated Automated Fingerprint Identification System IAFIS,mdi:code-braces
Integrated circuit simulation software,mdi:code-braces
Integrated construction management software,mdi:code-braces
Integrated Decision Support Corporation Expert Fuel,mdi:file-document
Integrated Decision Support Corporation Netwise Supply Chain,mdi:file-document
Integrated Decision Support Corporation Route Advice,mdi:file-document
Integrated Decision Support Corporation Swap Advice,mdi:file-document
Integrated Decision Support Match Advice,mdi:file-document
Integrated Decision Support Netwise Enterprise,mdi:file-document
Integrated Decision Support Netwise Frontline,mdi:file-document
Integrated development environment IDE software,mdi:code-braces
Integrated Environmental Services 3D Master,mdi:file-document
Integrated Management Systems Food Connex Cloud,mdi:server
Integrated materials management systems,mdi:sitemap
Integrated Parking Solutions MApp,mdi:code-braces
Integrated Systems Management OmniMD,mdi:sitemap
Integration testing software,mdi:code-braces
Integrity verification software,mdi:code-braces
Intel Data Migration Software,mdi:database
Intel Integrated Performance Primitives,mdi:file-document
Intel Math Kernel Library,mdi:code-braces
InteLext Past Masters,mdi:file-document
Intelitek spectraCAM Milling,mdi:file-document
Intelitek spectraCAM Turning,mdi:file-document
Intelius,mdi:file-document
Intelladon Enterprise Knowledge Platform EKP,mdi:file-document
IntellCAD,mdi:draw
Intelligen SuperPro Designer,mdi:draw
Intelligent Algorithms InfoGIST Platinum Recruiter,mdi:file-document
Intelligent Editing PerfectIt,mdi:file-document
Intelligent Imaging Innovations SlideBook,mdi:code-braces
Intelligent Information Conversion Technologies MeritScholar,mdi:file-document
intelligenz Solutions intelliSpa,mdi:file-document
Intelligrated InControlWare,mdi:file-document
Intellimed,mdi:file-document
IntelliPDF CURVES,mdi:file-document
Intellisense Intellisuite,mdi:file-document
Intellisys Project Desktop,mdi:file-document
Intellitax financial solutions software,mdi:code-braces
IntelliTrack 3PL,mdi:file-document
IntelliTrack DMS Check In-Out,mdi:file-document
IntelliTrack Warehouse Management System (WMS),mdi:database
Intellum Rollbook,mdi:file-document
InteProc Material Requirements Planning,mdi:sitemap
Intera Systems Hawk-i,mdi:file-document
InteractElsevier Netter's 3D Interactive Anatomy,mdi:file-document
Interactive learning software,mdi:code-braces
Interactive Mathematical Proof System IMPS,mdi:calculator
interactive Personnel Electronic Records Management System iPERMS,mdi:sitemap
Interactive psychological evaluation software,mdi:code-braces
Interactive radar analysis software IRAS,mdi:chart-line
Interactive voice response software,mdi:code-braces
Interconsult Brann G-JET,mdi:file-document
InterEnergy Software Building Energy Analyzer PRO,mdi:code-braces
Interface Computers Data Loader,mdi:database
Interface definition language IDL,mdi:file-document
Intergraph GeoMedia Transportation Manager,mdi:chart-line
Intergraph Image Analyst,mdi:chart-line
Intergraph ImageStation Stereo Softcopy Kit SSK,mdi:chart-line
Intergraph INtools,mdi:chart-line
Intergraph MGE,mdi:chart-line
Intergraph Plant Design System PDS,mdi:draw
Intergraph SmartMarine 3D,mdi:draw
interlinkONE,mdi:file-document
Interlock shutdown systems,mdi:file-document
Intermediate System to Intermediate System IS-IS,mdi:file-document
InterMine,mdi:file-document
Internal audit software,mdi:code-braces
International Centre for Diffraction Data ICDD DDView,mdi:database
International Material Data System IMDS,mdi:database
International Response Technologies CowChip - Ranch House,mdi:file-document
International TechneGroup IGESworks,mdi:file-document
Internet based MLS database software,mdi:database
Internet browser software,mdi:code-braces
Internet Grievance System IGS,mdi:network
Internet or intranet image distribution software,mdi:code-braces
Internet Protocol Security IPSEC,mdi:shield
Internet Protocol Television Systems,mdi:network
Internet search engine software,mdi:code-braces
Interoperability testing software,mdi:code-braces
Interpex IXID,mdi:file-document
Interpreter software,mdi:code-braces
Interstate connection ICON,mdi:network
Interstudio Geo-Tec B,mdi:file-document
Interuniversity Consortium for Political and Social Research (ICPSR) database,mdi:database
Interviewer software,mdi:code-braces
Interwave Technology RS Bizware Scheduler,mdi:calendar
Interwoven RecordsManager,mdi:file-document
Interwoven software,mdi:code-braces
Intland Software codeBeamer,mdi:code-braces
Intrado SchoolMessenger,mdi:school
IntraVet,mdi:file-document
Intrax ProcedureNet,mdi:file-document
Intrusion detection system IDS,mdi:file-document
Intrusion prevention system IPS,mdi:file-document
Intuit Lacerte,mdi:file-document
Intuit MRI Residential,mdi:code-braces
Intuit ProSeries,mdi:file-document
Intuit QuickBooks,mdi:file-document
Intuit QuickBooks Point of Sale,mdi:file-document
Intuit QuickBoooks Payments,mdi:cash
Intuit TurboTax,mdi:cash
Intusoft ICAP,mdi:file-document
Inventory control software,mdi:code-braces
Inventory control system software,mdi:code-braces
Inventory control systems,mdi:file-document
Inventory management software,mdi:code-braces
Inventory management systems,mdi:sitemap
Inventory software,mdi:code-braces
Inventory tracking software,mdi:code-braces
Inventrix Labtrac,mdi:file-document
Investigation management software,mdi:code-braces
Investigo,mdi:file-document
Investment and business valuation template software,mdi:code-braces
Investment tracking software,mdi:code-braces
Invicti Acunetix,mdi:file-document
InVision software,mdi:code-braces
Invivo Data EPX ePRO Management System,mdi:database
Invoice software,mdi:code-braces
IONA Orbix,mdi:file-document
IOS Health Systems Medios EHR,mdi:medical-bag
IoT Security,mdi:shield
iParadigms Turnitin,mdi:file-document
ipconfig,mdi:file-document
IpFilter,mdi:file-document
iPhotoMEASURE,mdi:image
iPro,mdi:file-document
IPro Restaurant Inventory&comma; Recipe & Menu Software,mdi:code-braces
IPS of Boston DoubleCheck,mdi:file-document
IPS-Sendero Relationship Profitability Manager Catalyst,mdi:file-document
Ipswitch WhatsUp Gold,mdi:file-document
IpTables,mdi:file-document
Iptor Supply Chain,mdi:file-document
iQmetrix RQ4 Retail Management System,mdi:sitemap
iRealty Manager,mdi:file-document
iRez Systems Rezware XP7,mdi:file-document
IRIS,mdi:file-document
IRIS Seismic Processing Workshop,mdi:sitemap
Iron Mountain Accutrac records management software,mdi:code-braces
IronCAD,mdi:draw
irs-aims MARS,mdi:file-document
IRSIM,mdi:file-document
Iseemedia Photovista Panorama,mdi:image
iShip,mdi:file-document
ISO ClaimSearch,mdi:file-document
ISO NetMap for Claims,mdi:map
Isograph FaultTree,mdi:chart-line
Isograph Markov,mdi:chart-line
isolved Time,mdi:file-document
ISS Construction Manager,mdi:file-document
ISS RealSecure,mdi:shield
Issue tracking system software,mdi:code-braces
iSystems Evolution Payroll and Tax Management,mdi:cash
ITC Integrated Land and Water Information System ILWIS,mdi:file-document
ITEM Software ITEM ToolKit,mdi:code-braces
ITEM Software Spare Cost,mdi:code-braces
ItemTracker,mdi:file-document
Iteris Turbo Architecture,mdi:file-document
Iterum eMedic,mdi:file-document
ITHAKA JSTOR,mdi:file-document
Itron Enterprise Energy Management EEM Suite,mdi:sitemap
ITSpatial InterSCOPE,mdi:file-document
ITT Exelis Visual Information Solutions ENVI,mdi:file-document
ITT Visual Information Solutions ENVI,mdi:file-document
iView Systems,mdi:file-document
Ivorix Neurostrategy Finance,mdi:cash
IWR-PLAN,mdi:file-document
IXL Learning Quia Web,mdi:school
iZotope Ozone,mdi:file-document
J,mdi:file-document
J&L Financial Planner,mdi:calendar
j2 Global Communications onebox,mdi:file-document
JACAL,mdi:file-document
Jack Henry & Associates Vertex,mdi:file-document
Jackbeat,mdi:file-document
Jackrabbit Technologies Jackrabbit Care,mdi:car
Jail management software,mdi:code-braces
jalada GmbH Just Translate,mdi:file-document
JAMAR Technologies PETRAPro,mdi:file-document
JamBoard,mdi:file-document
JaMBW,mdi:file-document
James Frazier Associates DataStart,mdi:draw
Jantek Electronics Jupiter Time & Attendance,mdi:file-document
Jantek Jupiter Time Attendance,mdi:file-document
Jaspersoft Business Intelligence Suite,mdi:file-document
Javamin Composer,mdi:file-document
JavaScript,logos:javascript
JSON,carbon:json
JDA Arthur KnowledgeBase database,mdi:draw
JDA Manugistics,mdi:file-document
JDA Master Planning,mdi:sitemap
JDA Software Group Advanced Warehouse Replenishment by E3,mdi:database
JDA Software Group Assortment Planning by Arthur,mdi:draw
Jekyll,mdi:file-document
Jenark Business Systems,mdi:file-document
Jenkins CI,mdi:file-document
Jenmar International DL-Plus,mdi:file-document
Jenss & Associates CompKeeper,mdi:file-document
Jenzabar ERP,mdi:file-document
Jenzabar EX,mdi:file-document
Jeppesen Marine Nobeltec Admiral,mdi:file-document
JessX stock simulator software,mdi:code-braces
Jest,skill-icons:jest
JET,mdi:file-document
JetBrains IntelliJ IDEA,mdi:code-braces
JetBrains PhpStorm,mdi:file-document
JetBrains Team City,mdi:file-document
JETCAM,mdi:file-document
JETCAM Expert,mdi:file-document
Jewelry design software,mdi:draw
Jewelry store point of sale POS software,mdi:code-braces
JFrog Artifactory,mdi:draw
JHDL,mdi:file-document
Jitterbit,mdi:file-document
JMS Software RCM WorkSaver,mdi:code-braces
Job control language JCL,mdi:file-document
Job costing software,mdi:code-braces
Job posting software,mdi:code-braces
Job scheduling software,mdi:code-braces
Job tracking software,mdi:code-braces
Jobber Computer Plus,mdi:calculator
JobBOSS,mdi:file-document
JobPack MES Scheduler,mdi:calendar
John Deere Apex Farm Management,mdi:sitemap
John Hesselberth and Ron Roy GlazeMaster,mdi:file-document
Johnson Controls Metasys,mdi:file-document
Joint Prediction of Operons JPOP,mdi:file-document
Joomla,mdi:file-document
jQuery,devicon:jquery
JRC navigation software,mdi:code-braces
JRP Consulting Plant Wizard,mdi:file-document
JRP Consulting Survey Wizard,mdi:file-document
JSTOR database,mdi:database
JTL Enterprises MedIntake,mdi:file-document
JudgeIt II,mdi:file-document
Judgment and Decision Making,mdi:file-document
Julia,mdi:file-document
Juniper Networks NetScreen-Security Manager,mdi:shield
Juniper Systems LandMark Mobile,mdi:file-document
JUnit,mdi:file-document
Junxure CRM Software,mdi:code-braces
Jupyter Notebook,mdi:file-document
Jupyter software,mdi:code-braces
Jurek Software Pedigree-Draw,mdi:draw
Juris,mdi:file-document
Just So Software The Property Manager,mdi:code-braces
Just-in-time compiler,mdi:code-braces
JustBio SeqPainter,mdi:draw
Justice Systems FullCourt Enterprise,mdi:file-document
JustSystems XMetaL,mdi:file-document
K&K Associates Thermal Analysis Kit TAK,mdi:chart-line
K2 Business Process Automation,mdi:sitemap
K9 Bytes K9 Koordinator,mdi:file-document
Kahoot!,mdi:file-document
Kali Linux,mdi:file-document
Kalido Information Engine,mdi:file-document
Kanoodle,mdi:file-document
KANT,mdi:file-document
KAPES,mdi:file-document
Kapwing,mdi:file-document
Kareo Practice Management,mdi:sitemap
KARIO,mdi:file-document
Katchitek Corporation OrthoManager,mdi:file-document
Katsura Shareware KS Strobe Tuner,mdi:file-document
Katsura Shareware ProLevel,mdi:file-document
Katsura Shareware SoundFrames,mdi:music
KayPENTAX Multi-Speech,mdi:music
KayPENTAX Nasometer,mdi:cash
KCD cabinet design software,mdi:draw
KE Software EMu,mdi:code-braces
Kea Software impDAT,mdi:code-braces
Keane SCORE,mdi:file-document
Keb Combivis Studio,mdi:file-document
Keffer Development Services Athletic Trainer System ATS,mdi:file-document
Kelowna Software L4U,mdi:code-braces
KELTEC Systems HerdMaster,mdi:file-document
Kennel Link,mdi:file-document
Kentech Kipware M CNC,mdi:file-document
Kentech Kipware Studio,mdi:file-document
Kentech Kipware T CNC,mdi:file-document
Kentech Kipware Trig Kalculator,mdi:file-document
Kentech Kipware X CNC,mdi:file-document
Kentech machine shop software,mdi:code-braces
Kentech PROTALK,mdi:file-document
Keras,mdi:file-document
Ketogenic planning software,mdi:code-braces
Kewill Clippership,mdi:file-document
Kewill Compliance Partner,mdi:draw
Kewill Global Trade and Logistics,mdi:file-document
Kewill Javelin Distribution Ship,mdi:file-document
KEYENCE PLC Ladder Logic,mdi:file-document
Keypoint DataDesk,mdi:database
Keysight Intuilink Connectivity Software,mdi:code-braces
Keysight Technologies Advanced Design System,mdi:draw
Keystroke monitoring software,mdi:code-braces
Kforge,mdi:file-document
Khameleon,mdi:file-document
KiCad,mdi:draw
Kidasa Milestones Professional,mdi:file-document
KIKA Veracity,mdi:file-document
Kinematic Engineering MicroMeasure IV,mdi:file-document
KinTraks,mdi:file-document
Kirix ProffiPoint,mdi:file-document
Kismet,mdi:file-document
Kitty Hawk,mdi:file-document
KLA-Tencor PROLITH,mdi:file-document
Klear Estimator,mdi:file-document
Kleinrock Publishing,mdi:file-document
Kliger-Weiss Infosystems,mdi:file-document
KMR software,mdi:code-braces
Knees Software PT DocTools,mdi:code-braces
Knight BondPoint,mdi:file-document
KNMI TurboWin,mdi:file-document
Kodak Dental Systems Kodak Cosmetic Imaging Module,mdi:file-document
Kodak Dental Systems Kodak ORTHOWARE,mdi:file-document
Kodak Dental Systems Kodak PRACTICEWORKS Practice management software PMS,mdi:code-braces
Kodak Dental Systems Kodak SOFTDENT Practice management software PMS,mdi:code-braces
KOffice.org Kplato,mdi:file-document
KommandCore,mdi:file-document
Komplete Kontrol,mdi:file-document
Kongsberg Maritime K-Log Deck Logbook,mdi:file-document
Kongsberg Maritime K-LOG Electronic Logbooks,mdi:file-document
Kookaburra Studios Knowledge Presenter,mdi:file-document
Korchek Technologies CareChek,mdi:car
Korg EM-1 Editor,mdi:file-document
KornShell,mdi:file-document
Kotlin,mdi:file-document
KPB Associates TaxStream,mdi:video
Kressa Software SchoolLeader,mdi:code-braces
Kronos Enterprise Workforce Management,mdi:sitemap
Kronos Workforce HR,mdi:file-document
Kronos Workforce Payroll,mdi:file-document
Kronos Workforce Timekeeper,mdi:file-document
KRS Enterprises Service First!,mdi:file-document
KSEG,mdi:file-document
Kubeflow,mdi:file-document
Kubernetes,devicon:kubernetes
Kubotek CADKEY Wireframe,mdi:draw
Kubotek KeyCreator Machinist,mdi:file-document
Kubotek USA KeyCreator,mdi:file-document
Kuder Navigator,mdi:file-document
KYPipe,mdi:file-document
L-Systems X-ONE,mdi:file-document
LA PRO Loan Administrator Pro,mdi:file-document
LAB SUM3D,mdi:file-document
Label inspection systems,mdi:file-document
Label printing software,mdi:code-braces
Label-making software,mdi:code-braces
Labeling software,mdi:code-braces
Labelmaster Software REG-Trieve,mdi:code-braces
Lablite Laboratory Information Management Systems LIMS,mdi:sitemap
LabMagic,mdi:file-document
LabOne NET,mdi:file-document
Laboratory Automated Quality Control Systems LAQC,mdi:file-document
Laboratory information management system LIMS,mdi:sitemap
Laboratory information system LIS,mdi:file-document
Laboratory Systems Group Lab Manager,mdi:file-document
LaborSoft LaborForce Arbitration/Appeals Manager module,mdi:code-braces
LaborSoft LaborForce Discipline Manager module,mdi:file-document
LaborSoft LaborForce EEO Claims Manager module,mdi:file-document
LaborSoft LaborForce Grievance Manager module,mdi:file-document
LaborSoft LaborForce Incident Tracking module,mdi:code-braces
LaborSoft LaborForce Personnel Manager module,mdi:file-document
LaborSoft LaborForce Reporting/Dashboard Manager module,mdi:chart-line
LabSoft LabNet,mdi:file-document
LabTrack Electronic Lab Notebook,mdi:file-document
Labvantage Solutions LIMS,mdi:file-document
LabWare LIMS,mdi:file-document
LaCerte 1040 Tax Analyzer,mdi:cash
Ladder Logic,mdi:file-document
Lakes Environmental EcoRisk View,mdi:file-document
Lakes Environmental Emissions View,mdi:file-document
Lakes Environmental ISC-AERMOD View,mdi:file-document
Lakes Environmental SLAB View,mdi:file-document
Lakes Environmental Software WRPLOT View,mdi:code-braces
Lamar Info Net,mdi:file-document
Lambda Research OSLO,mdi:file-document
LAMMPS Molecular Dynamics Simulator,mdi:file-document
LAMP Stack,mdi:file-document
Lancaster DHIA PCDART,mdi:draw
Land & Sea DYNO-MAX,mdi:file-document
Land management databases,mdi:database
Land Software Customer Pro-File,mdi:code-braces
Landfill gas analysis software,mdi:chart-line
Landlord Software Pro Flipper,mdi:code-braces
LandlordMax,mdi:file-document
Landmark Graphics GeoGraphix,mdi:draw
Landmark Graphics TOW/cs,mdi:draw
Landmark Sales LOG-istics,mdi:file-document
Landmark SeisWorks,mdi:file-document
Landmark VIP,mdi:file-document
Landport Systems Landport,mdi:file-document
Landscape Management System LMS,mdi:sitemap
Landscape modeling software,mdi:code-braces
LandSerf,mdi:file-document
Landtec System Software LFG Pro,mdi:code-braces
Landtitle USA,mdi:file-document
Langlais Computer Consultants CalMan,mdi:calculator
Language analysis software,mdi:chart-line
Language arts educational software,mdi:draw
Language Engineering Corporation Translate Pro,mdi:file-document
LAPACK,mdi:file-document
Large eddy simulation LES software,mdi:code-braces
Laser imaging detection and ranging LIDAR system,mdi:file-document
Laser Substrates PostalXport,mdi:file-document
Laserfiche Avante,mdi:file-document
Laserfiche Rio,mdi:file-document
Laserfiche software,mdi:code-braces
LaserSoft Imaging SilverFast Ai Studio,mdi:file-document
LaTeX,mdi:file-document
Lathem Time PayClock EZ,mdi:file-document
Latitude software,mdi:code-braces
Lattice MediCopia,mdi:file-document
Lauriso Software Music Publisher,mdi:code-braces
Lavalys Everest,mdi:file-document
Law enforcement database software,mdi:database
Law enforcement information databases,mdi:database
Lawex TrialWorks,mdi:file-document
LawLogix Edge,mdi:file-document
LawManager,mdi:file-document
Lawson ERP,mdi:file-document
Lawson Human Resource Management,mdi:sitemap
Lawson Human Resources Suite,mdi:file-document
Lawson S3 Supply Chain Management,mdi:sitemap
Lead Activity Analyzer,mdi:file-document
Lead Business Analyzer,mdi:file-document
Leading Market Technologies EXPO,mdi:file-document
LeanForward LearnPoint,mdi:school
Learn HQ Activate LMS,mdi:school
Learn.com CourseMaker Studio,mdi:school
Learn.com LearnCenter Talent Management Suite,mdi:school
Learning Fundamentals Speech Visualization,mdi:chart-line
Learning management system LMS,mdi:school
Learning Strategies,mdi:school
Learning Technology Research Institute GLO Maker,mdi:school
Lease Cost Solutions LseMod,mdi:file-document
Lectra Prima Vision Print Repeat,mdi:file-document
LegacyUSA BakeSmart,mdi:draw
Legal document software,mdi:code-braces
Legal Files software,mdi:code-braces
Legal research software,mdi:code-braces
Legal software,mdi:code-braces
LegalEdge Law Firm Suite,mdi:file-document
Legeislative Automative Workflow System LAWS,mdi:sitemap
Leica AEROPLAN LiDAR,mdi:file-document
Leica Geosystems ERDAS IMAGINE,mdi:file-document
Leica Geosystems FMS,mdi:file-document
Lemkesoft GraphicConverter,mdi:draw
Lending software systems,mdi:code-braces
Lenos marketing automation software,mdi:code-braces
Lenox Softworks VideoPoint,mdi:code-braces
LeonardoMD Renaissance,mdi:file-document
Leprechaun Spa and Salon Software,mdi:code-braces
Levare Center Court,mdi:file-document
Lewis & Ellis LEAPPS,mdi:code-braces
LexisNexis,mdi:file-document
LexisNexis Accurint,mdi:file-document
LexisNexis Applied Discovery,mdi:code-braces
LexisNexis Banko,mdi:file-document
LexisNexis CaseMap,mdi:map
LexisNexis CheckCite,mdi:file-document
LexisNexis CodeMaster,mdi:code-braces
LexisNexis Company Analyzer,mdi:file-document
LexisNexis Concordance,mdi:file-document
LexisNexis CourtLink Strategic Profiles,mdi:file-document
LexisNexis File and Serve,mdi:file-document
LexisNexis Lexis Advance,mdi:file-document
LexisNexis Lexis Back Office,mdi:file-document
LexisNexis Lexis Front Office,mdi:file-document
LexisNexis PCLaw,mdi:file-document
LexisNexis RiskWise,mdi:file-document
LexisNexis Shepard's Citations Service,mdi:file-document
LexisNexis SmartLinx,mdi:draw
LexisNexis Time Matters,mdi:file-document
LexisNexis Total Search,mdi:file-document
Lexrotech LxPediatric,mdi:file-document
Libera System7,mdi:file-document
Library of Congress digital collections,mdi:code-braces
Library of Congress E-resources Online Catalog,mdi:code-braces
Library of Congress online databases,mdi:database
LibreOffice,mdi:file-document
LibreOffice Draw,mdi:draw
License management software,mdi:code-braces
LIDP Consulting Services The Administrator,mdi:file-document
Life cycle assessment LCA software,mdi:code-braces
Life cycle cost software,mdi:code-braces
Life Systems Software ChiroSuite EHR,mdi:medical-bag
Life Technologies SOLiD,mdi:file-document
Life Technologies Vector NTI,mdi:image
Lifeline Software RadCalc,mdi:code-braces
Lifestyles Technologies DietMaster Pro,mdi:file-document
Light Blue Software Light Blue,mdi:code-braces
Lighting calculation software,mdi:code-braces
LightSpeed Cloud,mdi:server
Lilly Software Associates VISUAL DCMS,mdi:code-braces
Lilly Software Associates VISUAL Enterprise,mdi:code-braces
LINDO Systems LINDO API,mdi:code-braces
LINDO Systems LINGO,mdi:file-document
LINDO Systems optimization modeling software,mdi:code-braces
Linear Technology LTSpice,mdi:file-document
LinearTeam WinISD,mdi:draw
Lingoes,mdi:file-document
Link actuated vents LAVENT software,mdi:code-braces
Link analysis software,mdi:chart-line
Link encryption software,mdi:shield
Link Microtek,mdi:file-document
LinkCAD,mdi:draw
LinkedIn,mdi:file-document
Linspire Nvu,mdi:file-document
Linux,mdi:file-document
Linux Virtual Server,mdi:server
Lion Edge Technologies Ranch Manager,mdi:file-document
LiquidPlanner,mdi:calendar
List processing language LISP,mdi:sitemap
Listserv software,mdi:code-braces
Litchi,mdi:file-document
Literature & Latte Scrivener,mdi:file-document
Litigation management software,mdi:code-braces
Litigation support software,mdi:code-braces
Little Piano,mdi:file-document
Live streaming software,mdi:code-braces
LJI Technologies Lumberjack,mdi:file-document
LMS Imagine.Lab AMESim,mdi:file-document
Load optimization software,mdi:code-braces
Load testing software,mdi:code-braces
Load-bearing analysis software,mdi:chart-line
Loan application processing software,mdi:code-braces
Loan origination software,mdi:code-braces
Loan tracking software,mdi:code-braces
LOB RetailPoint,mdi:file-document
Local area network LAN software,mdi:code-braces
Location allocation decision support system LADSS,mdi:map
Location mapping software,mdi:code-braces
Locomotive distribution software,mdi:code-braces
Log book software,mdi:code-braces
Logger data manager LDM,mdi:database
Logger software,mdi:code-braces
LoggerPC software,mdi:code-braces
Logic Design RoboLogix,mdi:draw
Logic Group Scanner Digitizing Software,mdi:code-braces
Logic programming software,mdi:code-braces
Logic simulators,mdi:file-document
Logic Software Easy Projects.NET,mdi:code-braces
Logic synthesis software,mdi:code-braces
Logical partition LPAR software,mdi:draw
LogicalBit Eimas,mdi:file-document
LogicSphere Firstmix,mdi:file-document
LogicVision icBIST,mdi:file-document
Logility Voyager WarehousePRO,mdi:database
Logisim,mdi:file-document
Logisoft Positive Pos System,mdi:file-document
Logistics Cost Estimating Tool,mdi:file-document
Logistics management information LMI database software,mdi:database
Logistics Support Analysts SmartLogic,mdi:draw
Logisuite Enterprise,mdi:file-document
Logisuite Forwarder,mdi:file-document
Logitech 3D Pro,mdi:file-document
LogiXML Ad-HOC,mdi:file-document
LogMatrix NerveCenter,mdi:file-document
LogMeIn GoToMeeting,mdi:file-document
LogMeIn GoToWebinar,mdi:network
Logo design software,mdi:draw
Logopress,mdi:file-document
Logplot software,mdi:code-braces
LogRhythm,mdi:file-document
LOGSA COMPASS,mdi:file-document
LOGSA SYSPARS,mdi:file-document
Lombardi Teamworks,mdi:file-document
London Computer Systems Rent Manager,mdi:calculator
Longview Consolidation,mdi:file-document
Longview Performance Management Platform,mdi:sitemap
Longview Solutions Khalix,mdi:file-document
Loom,mdi:file-document
Lorenz DocuBridge,mdi:file-document
Lorenz eValidator,mdi:file-document
Lorenz labelBridge,mdi:file-document
Low-level debugger software,mdi:code-braces
Low-level driver LLD software,mdi:code-braces
Low-level virtual machine LLVM compilers,mdi:code-braces
LP360,mdi:file-document
LRN Ethics and Compliance Alliance,mdi:file-document
LSA Visual DBR,mdi:file-document
LSA Visual Easy Lean,mdi:file-document
LT Online Corporation LAWTRAC,mdi:file-document
Lua,mdi:file-document
Lucent VitalSuite,mdi:file-document
Lucero System Office Management,mdi:sitemap
Lucia CGH,mdi:file-document
Lucia Comet Assay,mdi:file-document
Lucia FISH,mdi:file-document
Lucia Karyo,mdi:file-document
Lucia Metaphase Finder,mdi:file-document
LUCIA MFISH,mdi:file-document
Lucid IQ CMP,mdi:file-document
Lucidchart,mdi:draw
Lumigent Entegra,mdi:file-document
Lumion,mdi:file-document
LunchByte Systems NUTRIKIDS,mdi:file-document
LuntBuild,mdi:file-document
Luxology Modo,mdi:file-document
Luxrender,mdi:file-document
Lynchval Systems Lvadmin,mdi:file-document
Lynchval Systems Lvval,mdi:file-document
Lynchval Systems Lvxact,mdi:file-document
Lynk Everest,mdi:file-document
Lyris HQ Web-Analytics Solution,mdi:chart-line
M-code,mdi:code-braces
M-Sim,mdi:file-document
M-Tech Hotel Service Optimization System HotSOS,mdi:calculator
M8 Client Billing,mdi:cash
Mac HelpMate,mdi:file-document
Machine control software,mdi:code-braces
Machine Control Specialists CoilPro,mdi:file-document
Machine control systems,mdi:file-document
Machine monitoring software,mdi:code-braces
Machine operation software,mdi:code-braces
MachineWorks Ltd. MachineWorks,mdi:file-document
MacKichan Software Scientific Notebook,mdi:code-braces
MacKichan Software Scientific WorkPlace,mdi:code-braces
Macromedia Cold Fusion,mdi:file-document
Macropool Web Research,mdi:network
Macroscopic diffusion software,mdi:code-braces
MacVector,mdi:image
MadCap Software MadCap Flare,mdi:code-braces
Made2Manage Supply Chain Management,mdi:sitemap
Made2Manage Systems M2M ERP,mdi:file-document
Madison Technical Software Chempak Plus,mdi:code-braces
Madison Technical Software Enviropak,mdi:code-braces
Madison Technical Software Steampak,mdi:code-braces
Madrigal Soft Tools Delegator,mdi:file-document
MadTracker,mdi:file-document
